,,mean,std,min,max,median,q1,q3
Kicks & Snares,Statistical::Total Step Density,0.389,0.264,0.0,1.0,0.281,0.188,0.531
Kicks & Snares,Statistical::Avg Voice Density,0.046,0.033,0.0,0.17,0.035,0.021,0.059
Kicks & Snares,Statistical::Lowness,0.415,0.405,0.0,1.0,0.298,0.0,1.0
Kicks & Snares,Statistical::Midness,0.584,0.406,0.0,1.0,0.7,0.0,1.0
Kicks & Snares,Statistical::Hiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicks & Snares,Statistical::Vel Similarity Score,0.907,0.177,0.0,1.0,0.952,0.912,0.975
Kicks & Snares,Statistical::Weak to Strong Ratio,1.069,2.117,0.0,44.346,0.438,0.0,1.228
Kicks & Snares,Statistical::Poly Velocity Mean,0.464,0.15,0.0,0.999,0.434,0.366,0.527
Kicks & Snares,Statistical::Poly Velocity std,0.148,0.07,0.0,0.395,0.144,0.103,0.191
Kicks & Snares,Statistical::Poly Offset Mean,-0.018,0.028,-0.115,0.067,-0.017,-0.039,0.004
Kicks & Snares,Statistical::Poly Offset std,0.022,0.01,0.0,0.054,0.022,0.016,0.029
Kicks & Snares,Syncopation::Combined,0.244,0.273,0.0,1.2,0.133,0.0,0.433
Kicks & Snares,Syncopation::Polyphonic,0.121,0.188,0.0,1.133,0.0,0.0,0.267
Kicks & Snares,Syncopation::Lowsync,0.025,0.06,0.0,0.433,0.0,0.0,0.0
Kicks & Snares,Syncopation::Midsync,0.166,0.21,0.0,0.933,0.067,0.0,0.3
Kicks & Snares,Syncopation::Hisync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicks & Snares,Syncopation::Lowsyness,0.004,0.009,0.0,0.067,0.0,0.0,0.0
Kicks & Snares,Syncopation::Midsyness,0.014,0.017,0.0,0.1,0.005,0.0,0.026
Kicks & Snares,Syncopation::Hisyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicks & Snares,Syncopation::Complexity,0.492,0.336,0.0,1.542,0.371,0.219,0.781
Kicks & Snares,Auto-Correlation::Skewness,2.361,1.089,-0.002,5.388,2.502,1.877,3.06
Kicks & Snares,Auto-Correlation::Max,3.026,2.086,0.0,13.069,2.711,1.411,4.046
Kicks & Snares,Auto-Correlation::Centroid,8.105,1.785,0.0,16.0,8.316,7.539,9.304
Kicks & Snares,Auto-Correlation::Harmonicity,0.264,0.26,0.001,1.0,0.16,0.078,0.374
Kicks & Snares,Micro-Timing::Swingness,0.028,0.036,0.0,0.181,0.0,0.0,0.055
Kicks & Snares,Micro-Timing::Laidbackness,-0.006,0.028,-0.375,0.25,0.0,0.0,0.0
Kicks & Snares,Micro-Timing::Accuracy,0.034,0.018,0.001,0.117,0.031,0.02,0.045
Random (Low) (GT),Statistical::NoI,2.929,1.11,1.0,7.0,3.0,2.0,4.0
Random (Low) (GT),Statistical::Total Step Density,0.202,0.109,0.031,0.625,0.188,0.125,0.281
Random (Low) (GT),Statistical::Avg Voice Density,0.024,0.014,0.003,0.087,0.021,0.014,0.031
Random (Low) (GT),Statistical::Lowness,0.225,0.205,0.0,1.0,0.2,0.0,0.333
Random (Low) (GT),Statistical::Midness,0.367,0.275,0.0,1.0,0.333,0.143,0.556
Random (Low) (GT),Statistical::Hiness,0.4,0.295,0.0,1.0,0.375,0.167,0.6
Random (Low) (GT),Statistical::Vel Similarity Score,0.332,0.442,0.0,1.0,0.0,0.0,0.898
Random (Low) (GT),Statistical::Weak to Strong Ratio,1.838,3.048,0.0,79.462,1.028,0.301,2.253
Random (Low) (GT),Statistical::Poly Velocity Mean,0.588,0.197,0.039,1.0,0.557,0.437,0.729
Random (Low) (GT),Statistical::Poly Velocity std,0.201,0.098,0.0,0.48,0.209,0.141,0.273
Random (Low) (GT),Statistical::Poly Offset Mean,-0.07,0.126,-0.492,0.5,-0.071,-0.15,0.008
Random (Low) (GT),Statistical::Poly Offset std,0.137,0.089,0.0,0.492,0.115,0.071,0.191
Random (Low) (GT),Syncopation::Combined,0.259,0.193,0.0,1.133,0.233,0.1,0.367
Random (Low) (GT),Syncopation::Polyphonic,0.168,0.198,0.0,1.133,0.1,0.0,0.267
Random (Low) (GT),Syncopation::Lowsync,0.043,0.058,0.0,0.467,0.033,0.0,0.067
Random (Low) (GT),Syncopation::Midsync,0.082,0.095,0.0,0.6,0.067,0.0,0.133
Random (Low) (GT),Syncopation::Hisync,0.072,0.084,0.0,0.533,0.033,0.0,0.1
Random (Low) (GT),Syncopation::Lowsyness,0.021,0.025,0.0,0.1,0.008,0.0,0.033
Random (Low) (GT),Syncopation::Midsyness,0.024,0.024,0.0,0.1,0.022,0.0,0.039
Random (Low) (GT),Syncopation::Hisyness,0.022,0.021,0.0,0.1,0.02,0.0,0.033
Random (Low) (GT),Syncopation::Complexity,0.337,0.209,0.031,1.194,0.296,0.178,0.457
Random (Low) (GT),Auto-Correlation::Skewness,4.602,0.585,2.003,5.388,4.656,4.251,5.038
Random (Low) (GT),Auto-Correlation::Max,2.745,1.813,0.002,12.0,2.397,1.359,3.746
Random (Low) (GT),Auto-Correlation::Centroid,3.973,2.648,0.0,11.021,4.058,1.762,5.999
Random (Low) (GT),Auto-Correlation::Harmonicity,0.808,0.219,0.042,1.0,0.889,0.673,1.0
Random (Low) (GT),Micro-Timing::Swingness,0.187,0.286,0.0,1.933,0.0,0.0,0.317
Random (Low) (GT),Micro-Timing::Laidbackness,0.005,0.103,-0.5,0.5,0.0,0.0,0.0
Random (Low) (GT),Micro-Timing::Accuracy,0.159,0.093,0.0,0.717,0.143,0.088,0.214
Random (Low),Statistical::NoI,1.965,1.026,0.0,5.0,2.0,1.0,3.0
Random (Low),Statistical::Total Step Density,0.124,0.091,0.0,0.531,0.094,0.062,0.188
Random (Low),Statistical::Avg Voice Density,0.015,0.011,0.0,0.069,0.014,0.007,0.021
Random (Low),Statistical::Lowness,0.204,0.271,0.0,1.0,0.1,0.0,0.333
Random (Low),Statistical::Midness,0.336,0.333,0.0,1.0,0.273,0.0,0.6
Random (Low),Statistical::Hiness,0.362,0.338,0.0,1.0,0.333,0.0,0.6
Random (Low),Statistical::Vel Similarity Score,0.234,0.402,0.0,1.0,0.0,0.0,0.675
Random (Low),Statistical::Weak to Strong Ratio,1.132,2.504,0.0,36.912,0.235,0.0,1.152
Random (Low),Statistical::Poly Velocity Mean,0.402,0.19,0.0,0.995,0.393,0.305,0.512
Random (Low),Statistical::Poly Velocity std,0.12,0.093,0.0,0.409,0.119,0.031,0.192
Random (Low),Statistical::Poly Offset Mean,-0.022,0.013,-0.089,0.022,-0.022,-0.03,-0.014
Random (Low),Statistical::Poly Offset std,0.01,0.008,0.0,0.05,0.009,0.002,0.015
Random (Low),Syncopation::Combined,0.146,0.165,0.0,0.967,0.1,0.0,0.233
Random (Low),Syncopation::Polyphonic,0.076,0.134,0.0,1.067,0.0,0.0,0.133
Random (Low),Syncopation::Lowsync,0.017,0.035,0.0,0.267,0.0,0.0,0.0
Random (Low),Syncopation::Midsync,0.059,0.098,0.0,0.667,0.0,0.0,0.1
Random (Low),Syncopation::Hisync,0.036,0.056,0.0,0.467,0.0,0.0,0.067
Random (Low),Syncopation::Lowsyness,0.011,0.021,0.0,0.1,0.0,0.0,0.0
Random (Low),Syncopation::Midsyness,0.018,0.025,0.0,0.1,0.0,0.0,0.033
Random (Low),Syncopation::Hisyness,0.014,0.02,0.0,0.1,0.0,0.0,0.033
Random (Low),Syncopation::Complexity,0.201,0.178,0.0,1.061,0.156,0.062,0.295
Random (Low),Auto-Correlation::Skewness,4.266,1.427,0.0,5.388,4.596,4.079,5.32
Random (Low),Auto-Correlation::Max,0.951,0.846,0.0,5.925,0.754,0.304,1.391
Random (Low),Auto-Correlation::Centroid,4.327,4.425,0.0,16.0,3.496,0.454,6.225
Random (Low),Auto-Correlation::Harmonicity,0.848,0.212,0.057,1.0,0.964,0.747,1.0
Random (Low),Micro-Timing::Swingness,0.004,0.008,0.0,0.068,0.0,0.0,0.0
Random (Low),Micro-Timing::Laidbackness,0.001,0.01,0.0,0.25,0.0,0.0,0.0
Random (Low),Micro-Timing::Accuracy,0.029,0.011,0.0,0.099,0.028,0.021,0.036
Random (High) (GT),Statistical::NoI,3.912,1.166,1.0,9.0,4.0,3.0,4.0
Random (High) (GT),Statistical::Total Step Density,0.479,0.18,0.031,0.969,0.469,0.344,0.625
Random (High) (GT),Statistical::Avg Voice Density,0.065,0.028,0.003,0.16,0.062,0.045,0.083
